name,type,twitter,category,primary_url,notes,last_seen,confidence,layer,job_one_liner,summary,about,status,related,risks,sources,logo
Robinhood Crypto,official,@RobinhoodCrypto,official,https://robinhood.com/us/en/chain/,Official chain + crypto product surface,2026-07-16,high,official,Official product & chain surface,Official product surface for Robinhood Chain — the public face of the L2 and onchain crypto products.,"Robinhood Chain is pitched as a permissionless Layer 2 for financial services and real-world assets, developed on Arbitrum infrastructure.|The brokerage app and the chain are different products: app = accounts, KYC, eligibility; chain = rails anyone can (in principle) deploy on.|Use official pages and docs as primary sources before secondary CT maps.",official,"Robinhood Wallet,Robinhood Earn,Stock Tokens (official),Robinhood Chain Docs",Official narrative ≠ security review of every third-party app on the chain.,https://robinhood.com/us/en/chain/|Chain page;https://docs.robinhood.com/chain/|Docs,https://www.google.com/s2/favicons?domain=robinhood.com&sz=128
Robinhood Chain Docs,official,,docs,https://docs.robinhood.com/chain/,Developer docs for the L2,2026-07-16,high,official,Primary builder documentation,Primary developer documentation for building on Robinhood Chain.,"Start here for network parameters, tooling, and builder-facing claims.|Prefer docs over CT threads when the two disagree.",official,"Robinhood Crypto,Arbitrum,Alchemy,QuickNode",Docs lag product launches; always check last-updated dates.,https://docs.robinhood.com/chain/|Docs,https://www.google.com/s2/favicons?domain=robinhood.com&sz=128
Robinhood Wallet,official,@RobinhoodCrypto,wallet,https://robinhood.com/us/en/chain/,Self-custody wallet surface; trending tokens; Pay checkout claims,2026-07-16,high,official,Wallet UX into RH Chain,"Self-custody wallet surface that points users at Robinhood Chain activity (swaps, trending, checkout UX).","Wallet features (trending tokens, Apple/Google Pay checkout narratives, fee/gas promos) are product UX on top of the chain.|Time-box every promo claim — gas waivers and fee holidays expire.|Wallet inclusion of a token is not an endorsement of safety or liquidity.",official,"Robinhood Crypto,Uniswap,1inch,Trust Wallet",Promo windows and trending lists change; verify terms and dates.,https://robinhood.com/us/en/chain/|Chain page,https://www.google.com/s2/favicons?domain=robinhood.com&sz=128
Robinhood Earn,official,@RobinhoodCrypto,lending,https://robinhood.com/us/en/crypto/earn/,USDG lending via Morpho; ~7% APY narrative; insurance claims in newsroom,2026-07-16,high,official,App-facing USDG lend product,App-facing USDG lending product; underlying rails cited as Morpho with partner stack support.,"Earn lets eligible users lend dollar-backed USDG via a self-custody path, with an official ~7% APY narrative and insurance claims in newsroom copy.|Infrastructure is powered by Morpho; partners named in launch narrative include Steakhouse, Ethena, Spark, and Maple.|This is an app product experience sitting on chain lending rails — not a guarantee of yield.",official,"Morpho,USDG / Paxos,Spark,Ethena,Steakhouse,Maple",Yield is variable; eligibility and insurance terms are jurisdiction- and product-specific. NFA.,https://robinhood.com/us/en/crypto/earn/|Earn;https://robinhood.com/us/en/newsroom/robinhood-accelerates-global-expansion-robinhood-chain-mainnet-stock-tokens-agentic-trading/|Newsroom,https://www.google.com/s2/favicons?domain=robinhood.com&sz=128
Stock Tokens (official),official,@RobinhoodCrypto,rwa,https://robinhood.com/rhj/stocktokens,Tokenized equities product; jurisdiction-restricted (not US),2026-07-16,high,official,Official RWA / equity tokens,"Official tokenized equities product on Robinhood Chain — the RWA thesis surface, not a memecoin market.","Stock Tokens are pitched as tokenized exposure to named equities/ETFs for eligible users outside restricted jurisdictions.|Official pages note they are not available in the US and are subject to restrictions elsewhere.|Listed onchain does not mean deep two-sided liquidity — listed ≠ liquid.|Use for product/mechanism understanding, not price targets.",official,"Robinhood Crypto,Uniswap,Rialto,USDG / Paxos,Chainlink",Jurisdiction limits; brochure listings can fail at size; not direct share ownership in all legal senses — read official terms.,https://robinhood.com/rhj/stocktokens|Stock Tokens,https://www.google.com/s2/favicons?domain=robinhood.com&sz=128
Vlad Tenev,official,@vladtenev,official,,CEO; builder embed stock-token calls,2026-07-16,high,official,Company leadership signal,CEO / co-founder signal account for product direction (e.g. builder calls to embed stock tokens).,"Useful as Tier-0 primary signal for strategy, not as a protocol docs substitute.|Landscape role: Company leadership signal. Official Robinhood product or leadership surface for the chain.|Hoodscape is orientation only — verify primary docs, contracts, and eligibility before interacting. NFA.",official,"Robinhood Crypto,Stock Tokens (official),Robinhood Wallet",Social posts are not legal or product documentation.,,https://pbs.twimg.com/profile_images/1762952134231040000/XvKRGoWY.jpg
USDG / Paxos,defi,,stablecoin,,Dollar-backed stable narrative; dominant stables mcap on chain,2026-07-16,high,defi,Settlement / Earn stable base,Dollar-backed stable narrative on Robinhood Chain; dominant share of stables mcap in early metrics.,"USDG is central to Earn and settlement stories on RH Chain.|Stable dominance on a young chain can reflect product design and incentives, not permanent equilibrium.|Always separate stable float from DEX meme volume when reading landscape metrics.",live,"Robinhood Earn,Morpho,Spark","Issuer, attestation, and redeemability details belong in primary issuer docs.",,https://pbs.twimg.com/profile_images/1648408942043709443/JqX4elSD.jpg
Arbitrum,infra,@arbitrum,infra,https://docs.arbitrum.io/,Orbit stack parent for RH Chain,2026-07-16,high,infra,L2 stack / Orbit platform,Orbit / L2 stack parent for Robinhood Chain — security and architecture context.,"RH Chain is developed on Arbitrum’s Layer 2 infrastructure with high-throughput / ~100ms block claims in official copy.|“Built on Arbitrum” is a stack claim, not a full safety sticker for every app, bridge, or sequencer operational choice.|Read Orbit/L2 docs for inheritance model, then map residual risks separately.",day-1 partner,"Robinhood Crypto,Robinhood Chain Docs",Stack inheritance ≠ app-level bridge/ops risk.,https://docs.arbitrum.io/|Arbitrum docs,https://www.google.com/s2/favicons?domain=arbitrum.io&sz=128
Chainlink,infra,@chainlink,oracle,,Day-1 oracle / CCIP partner (testnet+narrative),2026-07-16,high,infra,Oracles & cross-chain messaging,Oracle and cross-chain messaging partner cited in day-1 / testnet ecosystem narratives.,"Oracles and CCIP-class messaging are load-bearing for tokenized asset products and cross-domain flows.|Presence as a partner is infrastructure context, not proof that every RH app uses Chainlink correctly.",day-1 partner,"Stock Tokens (official),Robinhood Crypto,LayerZero",Wrong feed configuration is an app risk even when the oracle network is reputable.,https://www.prnewswire.com/news-releases/robinhood-chain-launches-and-adopts-chainlink-to-unlock-access-to-the-onchain-economy-for-millions-of-users-302816242.html|Chainlink PR;https://robinhood.com/us/en/newsroom/robinhood-chain-launches-public-testnet/|Testnet newsroom,https://www.google.com/s2/favicons?domain=chain.link&sz=128
Alchemy,infra,@Alchemy,rpc,,Day-1 infra / RPC partner,2026-07-16,high,infra,RPC & developer infra,RPC / developer infrastructure partner for builders on Robinhood Chain.,"Node and API infra makes the chain usable for apps; it is not a protocol risk model by itself.|Landscape role: RPC & developer infra. Infrastructure that helps builders and users access Robinhood Chain (RPC, oracles, bridges, compliance, security).|Hoodscape is orientation only — verify primary docs, contracts, and eligibility before interacting. NFA.",day-1 partner,"QuickNode,Robinhood Chain Docs,Arbitrum","Infra outages affect UX, not consensus guarantees.",https://docs.robinhood.com/chain/connecting/|Connecting docs;https://www.alchemy.com/blog/robinhood-chain-mainnet-is-live-on-alchemy|Alchemy blog,https://www.google.com/s2/favicons?domain=alchemy.com&sz=128
